nome_marca,nome_modelo,ano_modelo,preco_limpo,eh_zero_km
BMW,F 650,1994,15764.0,False
BMW,F 650,1995,16622.0,False
BMW,F 650,1999,18482.0,False
BMW,F 650,1998,18031.0,False
BMW,F 650 CS,2003,20928.0,False
BMW,F 650 CS,2004,23673.0,False
BMW,F 650 CS,2002,20417.0,False
BMW,F 650 GS/Dakar,2000,18756.0,False
BMW,F 650 GS/Dakar,2010,30981.0,False
BMW,F 650 GS/Dakar,2005,22636.0,False
BMW,F 650 GS/Dakar,2009,30225.0,False
BMW,F 650 GS/Dakar,2004,21147.0,False
BMW,F 650 GS/Dakar,2001,19233.0,False
BMW,F 650 GS/Dakar,2003,20274.0,False
BMW,F 650 GS/Dakar,2007,24472.0,False
BMW,F 650 GS/Dakar,2006,23497.0,False
BMW,F 650 GS/Dakar,2008,29477.0,False
BMW,F 700 GS,2017,37613.0,False
BMW,F 650 GS/Dakar,2011,31756.0,False
BMW,F 650 GS/Dakar,2002,19751.0,False
BMW,F 700 GS,2018,40642.0,False
BMW,F 750 GS Premium,2021,51392.0,False
BMW,F 750 GS Premium,2020,47579.0,False
BMW,F 750 GS Premium,2019,45185.0,False
BMW,F 750 GS Premium,2024,56052.0,False
BMW,F 750 GS Premium,2023,54026.0,False
BMW,F 750 GS Premium,2022,52693.0,False
BMW,F 750 GS Premium 40 Anos,2021,52474.0,False
BMW,F 750 GS Sport,2021,49394.0,False
BMW,F 750 GS Sport,2019,44777.0,False
BMW,F 750 GS Sport,2024,55618.0,False
BMW,F 800 GS 798cc,2010,35142.0,False
BMW,F 750 GS Sport,2020,46762.0,False
BMW,F 800 GS 798cc,2009,32931.0,False
BMW,F 750 GS Sport,2022,51485.0,False
BMW,F 750 GS Sport,2023,52782.0,False
BMW,F 800 GS 798cc,2013,38007.0,False
BMW,F 800 GS 798cc,2012,37012.0,False
BMW,F 800 GS 798cc,2017,45610.0,False
BMW,F 800 GS 798cc,2016,43945.0,False
BMW,F 800 GS 798cc,2014,39304.0,False
BMW,F 800 GS 798cc,2015,40297.0,False
BMW,F 800 GS 798cc,2018,46751.0,False
BMW,F 800 GS 798cc,2008,30329.0,False
BMW,F 800 GS 798cc,2011,36041.0,False
BMW,F 800 GS 895cc,2026,63334.0,True
BMW,F 800 GS 895cc,2025,61399.0,False
BMW,F 800 GS 895cc,2026,68620.0,True
BMW,F 800 GS Adventure,2017,47711.0,False
BMW,F 800 GS Adventure,2014,40814.0,False
BMW,F 800 GS Adventure,2016,44661.0,False
BMW,F 800 GS Adventure,2015,41900.0,False
BMW,F 800 GS Adventure,2018,48955.0,False
BMW,F 800 GS Plus 895cc,2026,74681.0,True
BMW,F 800 GS Plus 895cc,2026,66662.0,True
BMW,F 800 GS Plus 895cc,2025,64004.0,False
BMW,F 800 GS Triple Black/trophy,2012,37092.0,False
BMW,F 800 GS Triple Black/trophy,2018,48978.0,False
BMW,F 800 R,2013,29366.0,False
BMW,F 800 GS Triple Black/trophy,2013,38484.0,False
BMW,F 800 R,2017,38220.0,False
BMW,F 800 R,2010,26456.0,False
BMW,F 800 S 798cc,2007,26697.0,False
BMW,F 800 R,2012,28138.0,False
BMW,F 800 S 798cc,2008,30507.0,False
BMW,F 800 R,2015,31768.0,False
BMW,F 800 R,2011,27160.0,False
BMW,F 800 R,2014,30118.0,False
BMW,F 800 R,2016,35276.0,False
BMW,F 850 GS Adventure Premium,2019,54243.0,False
BMW,F 850 GS Adventure Premium,2024,68254.0,False
BMW,F 850 GS Adventure Premium,2022,62949.0,False
BMW,F 850 GS Adventure Premium 40 anos,2022,63221.0,False
BMW,F 850 GS Adventure Premium,2021,60794.0,False
BMW,F 850 GS Adventure Premium,2020,56654.0,False
BMW,F 850 GS Adventure Premium 40 anos,2021,61679.0,False
BMW,F 850 GS Adventure Premium,2023,65286.0,False
BMW,F 850 GS Premium,2020,53351.0,False
BMW,F 850 GS Adventure Sport,2019,52441.0,False
BMW,F 850 GS Premium,2019,52049.0,False
BMW,F 850 GS Premium,2022,60565.0,False
BMW,F 850 GS Premium,2024,64156.0,False
BMW,F 850 GS Premium,2021,58370.0,False
BMW,F 850 GS Adventure Sport,2020,55518.0,False
BMW,F 850 GS Premium,2023,62347.0,False
BMW,F 850 GS Premium 40 anos,2021,59133.0,False
BMW,F 850 GS Premium 40 anos,2022,61148.0,False
BMW,F 900 GS,2026,74339.0,True
BMW,F 850 GS Sport,2019,51471.0,False
BMW,F 900 GS,2025,72119.0,False
BMW,F 900 GS,2026,77567.0,True
BMW,F 900 GS Plus,2026,78629.0,True
BMW,F 900 GS Adventure Plus,2025,77492.0,False
BMW,F 900 GS Adventure Plus,2026,81557.0,True
BMW,F 900 GS Adventure Plus,2026,90121.0,True
BMW,F 900 GS Plus,2026,83492.0,True
BMW,F 900 GS Plus,2025,74604.0,False
BMW,F 900 GS Trophy,2026,78762.0,True
BMW,F 900 GS Trophy Pro,2026,82069.0,True
BMW,F 900 GS Trophy,2026,84874.0,True
BMW,F 900 GS Trophy,2025,74684.0,False
BMW,F 900 R,2026,71400.0,True
BMW,F 900 R,2026,64260.0,True
BMW,F 900 R Plus,2026,70110.0,True
BMW,F 900 R Plus,2026,77900.0,True
BMW,F 900 GS Trophy Pro,2026,90425.0,True
BMW,F 900 GS Trophy Pro,2025,77705.0,False
BMW,F 900 R Plus Racing Blue,2026,81400.0,True
BMW,F 900 R Plus Racing Blue,2026,72446.0,True
BMW,F 900 R Plus Triple Black,2026,70198.0,True
BMW,F 900 R Plus Triple Black,2026,77900.0,True
BMW,F 900 R Sport,2025,59994.0,False
BMW,F 900 R Sport,2026,70105.0,True
BMW,F 900 R Sport,2024,53980.0,False
BMW,F 900 R Sport,2023,49901.0,False
BMW,G 310 GS,2026,39568.0,True
BMW,F 900 R Sport Plus,2025,62888.0,False
BMW,F 900 R Sport Plus,2026,73091.0,True
BMW,F 900 R Sport Plus,2024,55768.0,False
BMW,F 900 R Sport Plus,2023,51887.0,False
BMW,G 310 GS,2024,33895.0,False
BMW,G 310 R,2026,36014.0,True
BMW,G 310 GS,2020,27871.0,False
BMW,G 310 R,2026,38919.0,True
BMW,G 310 GS,2025,36795.0,False
BMW,G 310 GS,2026,42916.0,True
BMW,G 310 R,2024,31648.0,False
BMW,G 310 R,2018,22575.0,False
BMW,G 310 GS,2023,32830.0,False
BMW,G 310 GS,2021,28882.0,False
BMW,G 310 GS,2018,24822.0,False
BMW,G 310 GS,2022,31541.0,False
BMW,G 310 R,2017,21561.0,False
BMW,G 310 R,2021,26771.0,False
BMW,G 310 R,2022,28586.0,False
BMW,G 310 R,2025,33648.0,False
BMW,G 310 R,2023,30178.0,False
BMW,G 310 R,2020,25348.0,False
BMW,G 310 R,2019,24651.0,False
BMW,G 310 GS,2019,26987.0,False
BMW,G 450 X,2010,26250.0,False
BMW,G 650 GS,2016,30209.0,False
BMW,G 650 GS,2015,26689.0,False
BMW,G 650 GS,2014,26038.0,False
BMW,G 650 GS,2010,21265.0,False
BMW,G 450 X,2009,25531.0,False
BMW,G 650 GS,2011,21797.0,False
BMW,G 650 GS,2012,23357.0,False
BMW,G 650 GS,2013,25308.0,False
BMW,G 650 X Challenge,2007,28183.0,False
BMW,G 650 X Challenge,2008,30462.0,False
BMW,G 650 GS Sertão,2012,25626.0,False
BMW,G 650 GS Sertão,2013,27547.0,False
BMW,G 650 X Country,2008,29156.0,False
BMW,G 650 X Country,2009,32369.0,False
BMW,G 650 X Moto,2008,38914.0,False
BMW,K 1100 LT,1994,15191.0,False
BMW,G 650 X Moto,2007,32090.0,False
BMW,K 1100 LT,1995,16664.0,False
BMW,K 1100 LT,1996,18593.0,False
BMW,K 1100 RS,1993,14773.0,False
BMW,K 1100 RS,1994,15168.0,False
BMW,K 1100 RS,1996,17915.0,False
BMW,K 1100 RS,1995,16654.0,False
BMW,K 1200 GT,2007,43095.0,False
BMW,K 1200 GT,2008,44195.0,False
BMW,K 1200 GT,2003,41201.0,False
BMW,K 1100 RS,1997,19072.0,False
BMW,K 1200 LT,2008,51922.0,False
BMW,K 1200 R,2008,35727.0,False
BMW,K 1200 LT,2000,33756.0,False
BMW,K 1200 LT,2001,38524.0,False
BMW,K 1200 LT,2003,41411.0,False
BMW,K 1200 R,2006,33166.0,False
BMW,K 1200 LT,2004,43271.0,False
BMW,K 1200 LT,2007,50655.0,False
BMW,K 1200 LT,2006,49419.0,False
BMW,K 1200 LT,1999,32552.0,False
BMW,K 1200 LT,2005,47517.0,False
BMW,K 1200 R,2007,34005.0,False
BMW,K 1200 LT,2002,39789.0,False
BMW,K 1200 RS,2004,34708.0,False
BMW,K 1200 RS,2005,36654.0,False
BMW,K 1200 RS,2000,31157.0,False
BMW,K 1200 RS,1997,27797.0,False
BMW,K 1200 RS,2002,32735.0,False
BMW,K 1200 S,2007,34370.0,False
BMW,K 1200 S,2008,36085.0,False
BMW,K 1200 RS,1998,29054.0,False
BMW,K 1200 RS,2003,33861.0,False
BMW,K 1200 RS,1999,30397.0,False
BMW,K 1200 RS,2001,31936.0,False
BMW,K 1200 S,2006,33283.0,False
BMW,K 1200 S,2005,31858.0,False
BMW,K 1300 GT,2011,48490.0,False
BMW,K 1300 GT,2010,44976.0,False
BMW,K 1300 R,2013,48626.0,False
BMW,K 1300 R,2010,40199.0,False
BMW,K 1300 R,2014,50415.0,False
BMW,K 1300 R,2009,37593.0,False
BMW,K 1300 R,2011,41204.0,False
BMW,K 1300 GT,2009,43879.0,False
BMW,K 1300 R,2012,43347.0,False
BMW,K 1300 S,2010,40539.0,False
BMW,K 1300 S,2011,41553.0,False
BMW,K 1300 S,2009,39550.0,False
BMW,K 1300 S,2014,56479.0,False
BMW,K 1300 S,2013,55101.0,False
BMW,K 1300 S,2012,44091.0,False
BMW,K 1600 BAGGER,2019,137432.0,False
BMW,K 1600 BAGGER,2022,236825.0,False
BMW,K 1600 BAGGER,2024,255406.0,False
BMW,K 1600 BAGGER,2025,276450.0,False
BMW,K 1600 BAGGER,2021,187266.0,False
BMW,K 1600 BAGGER,2020,156200.0,False
BMW,K 1600 BAGGER,2018,133924.0,False
BMW,K 1600 BAGGER,2026,306736.0,True
BMW,K 1600 GT,2014,77774.0,False
BMW,K 1600 BAGGER,2023,247740.0,False
BMW,K 1600 GT,2015,80510.0,False
BMW,K 1600 GT,2012,70646.0,False
BMW,K 1600 GT,2011,61399.0,False
BMW,K 1600 GT,2013,75877.0,False
BMW,K 1600 GTL,2011,67839.0,False
BMW,K 1600 GTL,2015,92378.0,False
BMW,K 1600 GTL Exclusive,2016,116303.0,False
BMW,K 1600 GTL Exclusive,2015,94849.0,False
BMW,K 1600 GTL,2016,96990.0,False
BMW,K 1600 GTL,2023,239317.0,False
BMW,K 1600 GTL,2014,79967.0,False
BMW,K 1600 GTL,2022,232420.0,False
BMW,K 1600 GTL,2018,140679.0,False
BMW,K 1600 GTL,2019,147731.0,False
BMW,K 1600 GTL,2020,168225.0,False
BMW,K 1600 GTL,2024,266284.0,False
BMW,K 1600 GTL,2012,74066.0,False
BMW,K 1600 GTL,2021,189940.0,False
BMW,K 1600 GTL,2013,76951.0,False
BMW,K 1600 GTL Exclusive,2014,85555.0,False
BMW,K 1600 GTL,2026,319080.0,True
BMW,K 1600 GTL,2025,283781.0,False
BMW,R 1100 GS,1996,20215.0,False
